"id","path","name","type","category_raw","ext","bucket","well","tags","event_key","record_id","ext_norm"
"1084eca7f8a48ba25c2a913e0e545f1ed9993ce8","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-7/MUD_LOG_1.LIS","MUD_LOG_1.LIS","file","well_data","lis","Well_Logs_Wireline","15/9-F-7","","mud log 1.lis","15/9-F-7|Well_Logs_Wireline|mud log 1.lis","lis"
"2e3e6c63b8764bee633a156064878bcd58f8f010","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-7/MUD_LOG_1_INF_1.PDF","MUD_LOG_1_INF_1.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-7","","mud log 1 inf 1","15/9-F-7|Well_Logs_Wireline|mud log 1 inf 1","pdf"
"f6024e58980664641e26bf768473d1ea42ded028","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-7/MUD_LOG_MD_PLOT_1.PDF","MUD_LOG_MD_PLOT_1.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-7","","mud log md plot 1","15/9-F-7|Well_Logs_Wireline|mud log md plot 1","pdf"
"800b696eaec98affe1f8db2005dec3b77ca4c7ab","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-7/MUD_LOG_MD_PLOT_2.PDF","MUD_LOG_MD_PLOT_2.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-7","","mud log md plot 2","15/9-F-7|Well_Logs_Wireline|mud log md plot 2","pdf"
"c0c373b75f00d71a841272177f8e35982069c1cc","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-7/MUD_LOG_MD_PLOT_3.PDF","MUD_LOG_MD_PLOT_3.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-7","","mud log md plot 3","15/9-F-7|Well_Logs_Wireline|mud log md plot 3","pdf"
"79f9ca0e13b2d144291d87effa1925e23cc5df3e","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-7/MUD_LOG_REPORT_1.PDF","MUD_LOG_REPORT_1.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-7","","mud log report 1","15/9-F-7|Well_Logs_Wireline|mud log report 1","pdf"
"cad22a73e68fb9d2f8fcd3af8cfdcc723a773f8b","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-7/MUD_LOG_TVD_PLOT_1.PDF","MUD_LOG_TVD_PLOT_1.PDF","file","well_data","pdf","Well_Logs_Wireline","15/9-F-7","","mud log tvd plot 1","15/9-F-7|Well_Logs_Wireline|mud log tvd plot 1","pdf"
"ec08441c15eb4c62e27629f74f220c6057e10161","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-7/LOGGING_SUMMARY_1.ASC","LOGGING_SUMMARY_1.ASC","file","well_data","asc","Drilling_LWD_MWD","15/9-F-7","","logging summary 1","15/9-F-7|Drilling_LWD_MWD|logging summary 1","asc"
"78d38d573764f5fc541387bbf661c2753e89720f","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-7/MWD_REPORT_1.PDF","MWD_REPORT_1.PDF","file","well_data","pdf","Drilling_LWD_MWD","15/9-F-7","","mwd report 1","15/9-F-7|Drilling_LWD_MWD|mwd report 1","pdf"
"bf0fb12d1278b992c8057d2335515e247d2ad765","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-7/WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_1.PDS","WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_1.PDS","file","well_data","pds","Drilling_LWD_MWD","15/9-F-7","UNTAGGED|PDS|PLOT","wl raw bhpr gr mech md mwd plot 1.pds","15/9-F-7|Drilling_LWD_MWD|wl raw bhpr gr mech md mwd plot 1.pds","pds"
